fecha,Enfermedades del sistema circulatorio ,COVID-19,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades del sistema respiratorio ,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas",Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",nan,Enfermedades del oÃ­do y de la apÃ³fisis mastoides,CÃ³digos para propÃ³sitos especiales
2016-04-02,30,0,7,28,2,2,6,2,4,12,1,1,0,1,1,0,0,2,0,0,0,0
2016-04-03,29,0,7,21,4,0,5,1,8,13,2,4,0,0,1,2,0,0,0,0,0,0
2016-04-04,22,0,2,21,4,3,7,3,10,14,3,3,1,1,0,2,0,1,1,0,0,0
2016-04-05,19,0,7,27,2,1,4,0,9,6,3,1,1,0,0,0,0,1,0,0,0,0
2016-04-06,28,0,5,21,0,1,4,5,7,12,3,2,1,0,0,1,0,3,0,0,0,0
2016-04-07,29,0,5,29,2,2,4,6,8,8,1,2,1,0,0,1,0,0,0,0,0,0
2016-04-08,30,0,6,36,2,2,9,0,5,9,2,2,0,1,0,2,0,0,0,0,0,0
2016-04-09,24,0,6,16,5,1,5,3,12,9,5,2,0,1,1,1,0,0,0,0,0,0
2016-04-10,23,0,6,25,4,1,8,2,8,8,3,7,0,1,1,0,0,0,0,0,0,0
2016-04-11,42,0,5,26,3,0,3,6,10,7,1,3,1,1,0,1,0,1,0,0,0,0
2016-04-12,30,0,5,34,2,1,6,0,13,7,2,8,0,1,0,0,0,1,0,0,0,0
2016-04-13,25,0,4,37,1,1,5,6,6,6,0,5,0,1,0,2,0,1,0,0,0,0
2016-04-14,27,0,5,25,1,1,6,4,9,7,3,2,0,0,0,3,0,1,0,0,0,0
2016-04-15,24,0,4,29,4,1,3,1,13,13,4,3,1,2,0,3,0,0,0,0,0,0
2016-04-16,45,0,6,31,2,2,5,4,7,17,1,5,1,1,0,2,0,1,0,0,0,0
2016-04-17,32,0,6,38,3,1,6,4,10,4,2,3,0,1,1,1,0,1,0,0,0,0
2016-04-18,37,0,12,23,3,3,9,4,4,8,3,4,1,0,0,1,0,1,0,0,0,0
2016-04-19,27,0,4,34,4,2,8,2,6,12,1,2,0,2,0,1,0,0,0,0,0,0
2016-04-20,31,0,6,25,4,4,3,4,7,7,0,0,0,0,1,1,0,0,0,0,0,0
2016-04-21,37,0,2,25,7,3,2,5,5,10,2,4,0,0,0,2,0,2,0,0,0,0
2016-04-22,33,0,4,27,4,0,5,4,10,13,1,7,2,2,1,2,0,1,0,0,0,0
2016-04-23,25,0,7,25,2,3,7,1,5,13,1,5,0,0,0,4,0,1,0,0,0,0
2016-04-24,32,0,8,21,4,0,6,2,8,7,4,2,3,0,2,0,0,1,0,0,0,0
2016-04-25,40,0,8,29,2,3,7,1,8,20,2,3,0,0,1,2,0,0,0,0,0,0
2016-04-26,42,0,8,31,1,4,5,1,9,15,1,1,2,0,2,2,0,3,0,0,0,0
2016-04-27,28,0,7,25,2,4,5,1,9,12,3,1,0,0,3,1,0,1,0,0,0,0
2016-04-28,21,0,5,38,4,0,6,2,9,12,2,2,1,0,0,1,0,1,1,0,0,0
2016-04-29,40,0,7,38,2,4,8,2,10,9,3,4,1,1,0,1,0,1,0,0,0,0
2016-04-30,38,0,8,26,3,1,8,3,14,15,3,4,0,0,0,1,0,1,0,0,0,0
2016-05-01,36,0,4,38,9,2,2,3,8,11,4,2,0,1,2,0,1,1,0,0,0,0
2016-05-02,25,0,8,32,3,7,6,2,5,15,2,3,1,2,1,1,0,2,0,0,0,0
2016-05-03,34,0,10,27,5,3,2,7,11,9,2,4,1,0,0,1,0,2,0,0,0,0
2016-05-04,34,0,4,32,3,4,3,0,9,6,1,3,1,0,1,0,0,1,0,0,0,0
2016-05-05,26,0,4,24,3,3,7,5,7,10,3,2,0,1,1,4,0,2,0,0,0,0
2016-05-06,28,0,3,28,4,5,9,2,7,10,0,3,1,0,0,1,0,0,0,0,0,0
2016-05-07,38,0,8,29,5,1,6,0,8,1,4,1,0,0,1,0,0,0,0,0,0,0
2016-05-08,34,0,7,33,2,2,8,3,8,9,2,4,0,3,0,0,0,1,0,0,0,0
2016-05-09,36,0,4,19,4,0,10,0,8,18,2,3,0,0,1,3,0,0,0,0,0,0
2016-05-10,30,0,9,24,1,0,10,4,9,10,6,1,1,1,0,1,0,0,0,0,0,0
2016-05-11,23,0,7,27,4,3,4,2,6,11,4,3,0,0,1,1,0,1,0,0,0,0
2016-05-12,17,0,8,26,4,2,5,1,12,9,1,0,1,0,0,2,0,0,0,0,0,0
2016-05-13,28,0,3,23,1,2,8,2,10,7,3,2,0,2,0,0,0,2,0,0,0,0
2016-05-14,36,0,6,36,2,3,11,4,6,17,4,2,0,1,1,0,0,0,0,0,0,0
2016-05-15,33,0,3,27,6,2,6,5,11,9,0,3,2,1,0,0,0,2,0,0,0,0
2016-05-16,35,0,3,30,3,1,3,1,13,8,3,3,0,0,0,3,0,0,0,0,0,0
2016-05-17,22,0,10,27,5,1,8,3,9,7,4,1,2,1,1,1,0,1,0,0,0,0
2016-05-18,31,0,2,25,3,4,7,7,10,13,2,3,0,1,1,0,0,3,0,0,0,0
2016-05-19,28,0,7,33,6,4,9,4,8,9,3,3,0,1,0,0,0,0,0,0,0,0
2016-05-20,26,0,7,33,2,1,8,2,5,12,3,0,1,0,0,2,0,2,0,0,0,0
2016-05-21,33,0,5,25,0,2,9,2,10,10,2,5,1,2,0,2,0,0,0,0,0,0
2016-05-22,26,0,6,25,4,4,8,3,3,5,0,0,0,0,1,0,0,1,0,0,0,0
2016-05-23,30,0,3,29,3,1,6,4,13,10,2,4,3,0,0,2,0,0,0,0,0,0
2016-05-24,29,0,7,34,6,2,2,0,11,3,3,3,0,0,0,2,0,0,0,0,0,0
2016-05-25,38,0,7,32,5,2,7,1,11,8,3,1,2,0,2,1,0,0,0,0,0,0
2016-05-26,30,0,8,27,2,1,7,7,5,14,1,1,1,3,1,0,0,0,0,0,0,0
2016-05-27,32,0,9,32,3,2,4,5,7,12,2,1,2,0,0,2,0,1,0,0,0,0
2016-05-28,44,0,4,31,4,2,12,4,9,10,3,3,0,1,1,0,0,0,0,0,0,0
2016-05-29,35,0,8,27,4,4,4,3,9,14,2,2,0,0,1,2,0,1,0,0,0,0
2016-05-30,32,0,9,31,4,2,6,5,17,9,4,5,0,0,0,0,0,1,0,0,0,0
2016-05-31,32,0,3,38,2,4,5,3,7,12,4,8,0,0,0,1,0,0,0,0,0,0
2016-06-01,28,0,4,28,2,4,4,3,13,16,5,1,2,0,0,2,0,1,0,0,0,0
2016-06-02,28,0,5,32,5,3,3,2,6,10,1,2,1,0,0,2,0,0,0,0,0,0
2016-06-03,30,0,4,21,9,1,6,3,12,14,1,3,2,0,0,2,0,0,0,0,0,0
2016-06-04,26,0,7,22,2,4,10,3,8,8,1,2,1,0,0,1,0,2,0,0,0,0
2016-06-05,35,0,10,25,4,0,6,3,3,11,1,5,1,0,0,1,0,0,0,0,0,0
2016-06-06,35,0,7,20,1,0,6,4,4,13,2,2,0,0,0,1,0,0,0,0,0,0
2016-06-07,41,0,4,21,6,5,5,5,10,10,1,3,0,1,0,0,0,0,0,0,0,0
2016-06-08,49,0,8,19,4,5,9,4,5,8,2,5,0,1,0,0,0,0,0,0,0,0
2016-06-09,22,0,10,33,5,2,9,2,11,10,7,9,1,1,1,1,0,3,0,0,0,0
2016-06-10,29,0,9,25,3,3,14,2,7,16,4,2,0,1,0,1,0,0,0,0,0,0
2016-06-11,21,0,13,28,5,2,11,1,8,12,3,2,0,2,0,0,0,1,0,0,0,0
2016-06-12,38,0,5,43,3,3,6,1,7,12,3,6,0,2,1,3,0,1,0,0,0,0
2016-06-13,38,0,10,30,4,3,11,5,6,14,3,8,2,0,0,1,0,0,0,0,0,0
2016-06-14,26,0,4,27,8,1,9,1,8,9,1,6,0,0,0,0,0,2,0,0,0,0
2016-06-15,28,0,6,18,9,2,1,1,9,15,1,3,1,0,1,2,0,1,0,0,0,0
2016-06-16,33,0,4,40,4,2,7,1,5,15,0,8,0,0,0,2,0,1,0,0,0,0
2016-06-17,35,0,4,28,3,3,14,5,6,7,7,3,0,0,0,1,0,1,0,0,0,0
2016-06-18,35,0,6,22,2,2,5,0,6,13,3,3,0,0,1,3,0,2,0,0,0,0
2016-06-19,41,0,10,23,5,3,15,2,7,9,3,2,1,3,0,0,0,0,0,0,0,0
2016-06-20,38,0,3,24,2,4,9,3,7,15,5,2,1,1,3,0,0,0,0,0,0,0
2016-06-21,33,0,5,29,2,3,10,5,10,16,4,4,0,2,1,2,0,0,0,0,0,0
2016-06-22,41,0,5,29,5,4,8,1,4,22,4,4,3,2,2,2,0,1,0,0,0,0
2016-06-23,39,0,11,32,3,0,5,11,7,15,2,8,0,1,2,4,0,0,0,0,0,0
2016-06-24,38,0,6,31,3,1,6,5,7,17,3,1,0,0,0,0,0,1,0,0,0,0
2016-06-25,40,0,9,23,2,0,5,2,6,18,2,2,1,1,0,1,0,0,0,0,1,0
2016-06-26,45,0,4,30,3,3,6,2,11,15,2,3,0,1,0,0,0,0,0,0,0,0
2016-06-27,37,0,8,24,9,3,7,3,12,24,4,2,1,0,0,0,0,1,0,0,0,0
2016-06-28,30,0,11,35,4,3,8,5,5,20,2,3,0,0,1,0,0,0,0,0,0,0
2016-06-29,44,0,8,29,5,2,13,4,7,23,0,5,0,1,0,1,0,2,0,0,0,0
2016-06-30,33,0,7,35,4,1,9,6,9,17,1,0,0,0,0,0,0,1,0,0,0,0
2016-07-01,43,0,8,32,4,0,15,2,10,17,6,3,0,0,0,1,0,1,0,0,0,0
2016-07-02,56,0,8,37,4,4,9,2,7,16,1,4,0,1,1,1,0,3,1,0,0,0
2016-07-03,37,0,4,31,1,2,11,2,5,10,0,9,1,1,1,0,0,0,0,0,0,0
2016-07-04,35,0,11,22,4,3,11,4,8,14,1,4,0,0,0,0,0,0,0,0,0,0
2016-07-05,32,0,1,29,4,3,8,6,4,16,4,1,2,1,1,2,0,0,0,0,0,0
2016-07-06,44,0,5,20,5,6,6,6,5,11,4,5,0,2,1,1,0,0,0,0,0,0
2016-07-07,35,0,4,30,4,3,8,4,7,18,2,3,0,0,0,2,0,0,0,0,0,0
2016-07-08,33,0,12,26,5,3,9,2,16,22,2,2,0,1,2,1,0,2,0,0,0,0
2016-07-09,35,0,7,32,5,1,12,2,6,15,1,6,0,0,0,2,0,1,0,0,0,0
2016-07-10,42,0,8,31,4,3,18,1,8,19,4,3,0,3,2,0,0,2,0,0,0,0
2016-07-11,44,0,6,43,9,5,10,6,9,23,3,1,0,2,0,1,0,0,0,0,0,0
2016-07-12,58,0,4,24,3,1,11,4,8,14,2,7,2,0,1,2,0,0,0,0,0,0
2016-07-13,43,0,3,30,6,3,12,6,14,17,2,2,0,2,0,3,0,2,0,0,0,0
2016-07-14,45,0,11,29,7,3,6,2,11,17,2,4,0,0,1,1,0,1,0,0,0,0
2016-07-15,36,0,6,30,2,5,12,5,6,20,2,3,1,0,0,0,0,0,0,0,0,0
2016-07-16,47,0,7,32,6,2,8,5,8,15,4,4,1,1,2,0,0,0,0,0,0,0
2016-07-17,50,0,9,29,2,3,11,3,15,29,1,4,0,1,2,0,0,0,0,0,0,0
2016-07-18,37,0,9,29,4,4,16,3,5,14,1,5,3,2,1,1,0,1,0,0,0,0
2016-07-19,40,0,6,24,4,2,12,4,12,22,4,2,0,1,2,2,0,0,0,0,0,0
2016-07-20,50,0,3,35,6,1,10,2,11,16,1,10,0,0,0,2,0,0,0,0,0,0
2016-07-21,34,0,8,35,8,2,13,2,11,15,2,1,1,1,0,3,0,1,2,0,0,0
2016-07-22,42,0,10,38,3,7,9,5,6,20,1,3,0,1,0,0,0,0,0,0,0,0
2016-07-23,43,0,11,22,3,1,5,3,10,23,3,5,1,1,1,1,0,1,0,0,0,0
2016-07-24,49,0,9,32,5,5,3,4,10,14,3,2,0,0,2,3,0,0,0,0,0,0
2016-07-25,29,0,12,28,6,1,5,2,7,21,3,5,0,0,1,2,0,0,1,0,0,0
2016-07-26,33,0,7,27,3,1,5,1,4,14,1,3,1,0,1,1,0,2,0,0,0,0
2016-07-27,35,0,4,31,3,3,11,3,8,25,3,2,0,0,1,2,0,1,0,0,0,0
2016-07-28,25,0,7,34,4,3,8,2,10,19,2,2,3,1,1,3,0,0,0,0,0,0
2016-07-29,39,0,8,29,10,2,9,2,5,23,2,6,0,1,1,2,0,3,1,0,0,0
2016-07-30,34,0,6,28,2,3,7,0,10,14,7,4,1,1,0,0,0,1,0,0,0,0
2016-07-31,42,0,14,28,5,1,12,6,7,12,5,5,0,0,1,0,0,0,0,0,0,0
2016-08-01,35,0,5,29,2,2,4,4,8,18,3,5,1,1,1,1,0,0,0,0,0,0
2016-08-02,32,0,4,38,5,3,5,3,8,9,3,3,2,1,0,0,0,0,0,0,0,0
2016-08-03,47,0,2,45,6,5,11,6,5,14,8,4,1,1,0,2,0,0,0,0,0,0
2016-08-04,32,0,5,22,5,1,6,3,9,14,4,4,0,0,2,0,0,0,0,0,0,0
2016-08-05,29,0,3,34,3,1,14,5,13,22,0,3,1,2,0,1,0,2,0,0,0,0
2016-08-06,50,0,8,28,4,4,13,1,14,10,1,4,0,0,1,1,0,2,0,0,0,0
2016-08-07,34,0,8,29,8,2,6,4,9,12,3,3,1,1,1,0,0,1,0,0,0,0
2016-08-08,35,0,11,22,8,2,7,3,3,20,5,3,0,1,1,2,0,0,0,0,0,0
2016-08-09,33,0,3,26,5,2,7,1,7,10,4,0,1,0,0,1,0,0,1,0,0,0
2016-08-10,34,0,6,36,2,0,7,2,10,17,2,5,0,0,1,0,0,0,0,0,0,0
2016-08-11,32,0,7,35,3,1,8,2,6,11,2,2,2,2,0,0,0,1,0,0,0,0
2016-08-12,32,0,10,25,3,1,10,2,7,16,3,5,1,0,0,0,0,0,0,0,0,0
2016-08-13,25,0,14,27,2,5,11,1,8,15,3,2,0,0,0,1,0,0,0,0,0,0
2016-08-14,27,0,3,25,6,1,11,2,7,17,2,4,0,0,2,0,0,2,0,0,0,0
2016-08-15,37,0,4,28,7,1,10,1,7,14,1,3,0,0,1,0,0,0,0,0,0,0
2016-08-16,35,0,4,22,6,2,8,3,11,16,3,5,0,1,0,1,0,0,1,0,0,0
