fecha,Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Ciertas enfermedades infecciosas y parasitarias,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Causas externas de morbilidad y de mortalidad,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,COVID-19,Enfermedades del sistema nervioso central,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades de la piel y del tejido subcutáneo,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del oído y de la apófisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio"
2020-06-15,36,23,3,5,13,2,3,7,7,221,6,3,0,1,1,0,0,0,0,1
2020-06-16,41,26,1,5,14,11,8,8,1,207,9,9,0,1,1,0,0,0,1,0
2020-06-17,44,21,1,8,16,10,5,7,4,203,3,4,0,0,2,0,0,0,2,0
2020-06-18,40,14,0,3,11,13,11,10,2,150,7,7,0,1,0,0,0,0,1,0
2020-06-19,32,20,0,5,21,6,7,10,4,190,3,9,1,0,0,1,0,0,0,0
2020-06-20,31,21,0,1,14,11,9,4,2,153,6,3,1,0,1,1,0,0,0,0
2020-06-21,36,21,3,7,12,7,6,8,6,154,2,3,0,0,1,0,0,0,1,0
2020-06-22,38,16,1,7,7,6,5,11,4,151,3,2,0,0,0,1,0,0,0,0
2020-06-23,34,24,2,5,14,13,9,10,4,151,6,2,0,1,0,2,0,0,1,0
2020-06-24,40,17,2,4,17,6,7,5,1,144,5,3,1,0,0,0,0,0,1,0
2020-06-25,45,27,0,6,7,6,4,11,3,141,4,3,0,0,0,1,0,0,0,0
2020-06-26,32,37,0,8,12,6,6,7,4,135,1,4,0,2,1,1,0,0,0,0
2020-06-27,36,19,2,10,8,5,7,5,2,126,3,4,0,1,2,2,0,0,0,0
2020-06-28,39,22,2,1,15,8,10,2,0,138,6,9,4,0,0,1,0,0,0,0
2020-06-29,33,18,1,8,14,4,4,6,2,105,5,3,0,1,2,2,0,0,2,0
2020-06-30,40,20,2,2,9,5,8,2,4,130,5,3,1,0,0,1,0,0,0,0
2020-07-01,34,24,1,4,7,2,7,4,4,113,3,4,1,1,0,1,0,0,1,0
2020-07-02,33,18,2,7,15,8,6,6,2,125,6,1,0,0,2,0,0,0,0,0
2020-07-03,24,19,0,8,5,4,3,11,4,120,7,7,0,1,1,0,0,0,2,0
2020-07-04,25,17,2,2,4,9,7,6,5,110,0,1,1,2,3,0,0,0,0,0
2020-07-05,28,23,1,4,7,4,4,3,2,91,5,6,2,0,2,1,0,0,0,0
2020-07-06,29,24,3,9,5,9,3,6,1,103,6,5,0,0,0,1,0,0,1,1
2020-07-07,20,14,3,4,11,5,11,4,1,117,2,5,0,2,3,0,0,0,1,0
2020-07-08,31,24,0,5,15,7,3,4,2,106,4,3,0,0,0,0,0,0,0,0
2020-07-09,36,19,0,2,11,3,2,6,4,98,2,3,1,0,0,1,0,0,0,0
2020-07-10,23,22,2,6,8,5,12,5,2,93,5,8,0,0,0,0,0,0,3,0
2020-07-11,27,12,3,7,8,2,9,3,3,84,5,2,1,0,3,1,0,0,0,0
2020-07-12,31,22,1,7,9,4,8,6,2,76,1,2,0,1,1,0,0,0,1,0
2020-07-13,20,16,1,8,14,1,7,7,4,101,1,1,0,1,0,1,0,0,1,0
2020-07-14,30,15,0,4,7,6,4,9,3,78,2,6,2,0,0,0,0,0,0,0
2020-07-15,17,21,2,6,17,4,7,7,1,77,3,2,0,0,0,0,0,0,0,0
2020-07-16,29,13,0,4,11,1,8,3,3,91,3,0,0,0,1,0,0,0,0,0
2020-07-17,17,20,3,1,7,3,6,4,2,69,3,6,0,0,1,0,0,0,1,0
2020-07-18,30,21,0,8,10,5,4,5,3,60,3,0,1,1,1,0,0,0,0,0
2020-07-19,33,13,3,4,4,2,14,3,1,65,1,4,0,0,1,0,0,0,1,0
2020-07-20,12,18,4,0,8,2,4,2,1,55,3,1,1,0,1,0,0,0,0,0
2020-07-21,20,12,1,2,7,7,1,2,5,69,2,1,0,0,0,0,0,0,2,0
2020-07-22,4,3,1,3,3,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0
