fecha,Causas externas de morbilidad y de mortalidad,COVID-19,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema circulatorio ,Enfermedades del sistema genitourinario,Enfermedades del sistema respiratorio ,Trastornos mentales y del comportamiento,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del sistema nervioso central,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas","Embarazo, parto y puerperio",Ciertas afecciones originadas en el período perinatal,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Códigos para propósitos especiales
2016-07-05,10,0,86,22,95,8,36,8,9,1,11,14,21,1,2,4,0,1,0,0,0
2016-07-06,19,0,57,19,111,14,26,11,8,2,13,14,15,5,0,5,0,0,0,0,0
2016-07-07,20,0,77,18,102,6,51,7,5,2,13,9,28,0,2,2,0,0,0,0,0
2016-07-08,25,0,77,23,98,6,43,5,4,3,11,7,33,2,1,4,0,4,0,0,0
2016-07-09,21,0,86,29,107,12,40,4,5,0,9,8,20,1,1,4,0,3,0,0,0
2016-07-10,27,0,74,31,106,7,50,6,7,3,15,6,20,3,2,1,0,2,0,0,0
2016-07-11,26,0,99,22,96,8,40,7,6,3,15,10,23,2,1,2,0,1,0,0,0
2016-07-12,12,0,67,26,125,13,34,6,6,0,7,10,24,3,3,4,1,0,0,0,0
2016-07-13,16,0,76,28,99,11,38,6,11,2,13,16,36,1,0,3,0,2,0,0,0
2016-07-14,37,0,79,23,111,9,34,7,5,0,13,5,18,2,0,2,0,1,0,0,0
2016-07-15,24,0,74,25,107,11,36,8,9,2,4,9,19,0,2,1,0,3,0,0,0
2016-07-16,25,0,92,16,107,9,36,8,6,4,13,12,26,2,3,2,0,2,0,0,0
2016-07-17,33,0,77,25,114,8,54,6,5,2,12,11,28,2,1,1,0,1,0,0,0
2016-07-18,23,0,76,37,101,12,30,7,8,4,15,10,24,1,3,5,0,1,0,0,0
2016-07-19,22,0,75,28,97,13,46,4,8,2,17,9,38,2,1,3,0,1,0,0,0
2016-07-20,14,0,84,24,122,16,47,7,9,1,16,8,19,2,5,4,0,0,0,0,0
2016-07-21,21,0,89,26,99,10,41,6,5,2,14,7,30,1,2,3,2,4,0,1,0
2016-07-22,24,0,85,19,91,11,45,11,3,2,13,7,19,0,1,2,0,1,0,0,0
2016-07-23,29,0,80,23,104,15,59,6,5,3,14,9,28,4,2,2,0,2,0,0,0
2016-07-24,24,0,71,21,119,11,34,6,6,0,14,8,21,2,3,4,0,1,0,0,0
2016-07-25,25,0,81,13,90,17,44,7,5,0,15,7,17,3,1,6,1,1,0,0,0
2016-07-26,20,0,73,22,91,10,47,9,7,0,10,7,17,2,3,3,1,4,0,0,0
2016-07-27,21,0,82,19,90,8,45,5,5,2,11,8,25,3,0,6,0,1,0,0,0
2016-07-28,15,0,92,22,83,6,34,7,7,3,17,5,22,2,4,3,0,1,0,0,0
2016-07-29,15,0,79,25,88,11,41,6,6,1,14,9,18,2,2,5,2,3,0,0,0
2016-07-30,17,0,71,21,85,10,39,6,10,3,9,5,24,2,2,2,0,5,0,0,0
2016-07-31,32,0,72,27,107,12,35,7,8,2,12,15,19,1,0,2,0,2,0,0,0
2016-08-01,21,0,90,15,81,12,38,5,5,3,10,7,26,1,1,1,0,1,0,0,0
2016-08-02,12,0,94,18,74,12,34,6,5,2,9,6,18,0,4,0,0,2,0,0,0
2016-08-03,10,0,93,20,106,12,39,7,9,2,16,11,15,2,3,2,0,1,0,0,0
2016-08-04,13,0,62,13,74,11,41,2,8,1,10,7,26,3,1,1,0,0,0,0,0
2016-08-05,19,0,88,20,85,13,43,7,5,3,16,9,31,2,2,1,0,3,0,0,0
2016-08-06,25,0,77,23,99,9,27,7,7,1,12,7,26,2,0,3,0,3,0,0,0
2016-08-07,19,0,73,23,85,9,36,3,7,6,14,13,27,2,4,1,0,1,0,0,0
2016-08-08,30,0,69,21,95,11,45,5,10,3,17,9,16,1,1,3,0,0,0,0,0
2016-08-09,13,0,80,22,90,3,29,4,12,3,13,6,18,0,1,2,1,1,0,0,0
2016-08-10,19,0,89,19,88,8,48,4,5,1,9,8,21,4,1,1,0,0,0,0,0
2016-08-11,24,0,70,24,81,4,32,4,7,4,8,6,19,1,4,1,0,5,0,0,0
2016-08-12,19,0,80,16,91,12,36,6,9,2,15,9,23,0,5,1,0,1,0,0,0
2016-08-13,30,0,89,17,77,8,31,7,11,2,11,7,25,1,1,3,0,0,0,0,0
2016-08-14,23,0,80,25,69,6,39,2,5,1,13,9,24,3,0,2,0,3,0,0,0
2016-08-15,21,0,64,18,90,11,43,3,7,0,12,3,18,1,1,3,0,1,0,0,0
2016-08-16,20,0,77,27,88,13,51,3,8,5,13,10,23,0,0,2,1,3,0,0,0
2016-08-17,27,0,82,13,80,11,36,6,9,2,10,11,24,2,3,6,0,1,0,0,0
2016-08-18,22,0,60,25,87,13,34,6,4,4,12,5,21,1,2,4,1,2,0,0,0
2016-08-19,20,0,72,17,80,7,45,6,10,0,14,10,26,1,3,1,0,3,0,0,0
2016-08-20,18,0,78,19,69,14,31,10,5,2,11,10,19,1,0,5,1,3,0,0,0
2016-08-21,27,0,70,16,90,14,42,3,6,2,16,11,24,0,2,5,0,1,0,0,0
2016-08-22,28,0,73,17,85,12,38,10,8,2,17,11,20,1,0,3,0,4,0,0,0
2016-08-23,11,0,77,19,101,8,35,5,6,3,10,7,21,2,2,2,0,1,0,0,0
2016-08-24,17,0,77,22,66,10,32,3,9,2,13,6,28,4,1,1,0,3,0,0,0
2016-08-25,17,0,78,22,93,9,37,7,8,3,9,4,24,1,4,4,0,3,0,0,0
2016-08-26,16,0,62,21,84,9,25,5,4,5,9,10,14,2,1,5,0,2,0,0,0
2016-08-27,20,0,80,20,79,7,27,3,6,3,7,3,16,2,0,3,0,2,0,0,0
2016-08-28,33,0,86,25,94,9,22,8,7,3,10,14,21,2,0,0,0,2,0,0,0
2016-08-29,17,0,76,21,75,12,34,10,8,1,9,11,15,1,1,5,0,0,0,0,0
2016-08-30,24,0,67,22,80,7,46,9,8,1,3,12,21,2,1,4,1,2,0,0,0
2016-08-31,16,0,79,19,85,5,40,5,5,2,12,7,20,1,2,7,0,0,0,0,0
2016-09-01,20,0,77,16,81,8,29,4,6,2,6,10,20,3,2,2,0,2,0,0,0
2016-09-02,14,0,70,17,79,3,34,8,3,2,12,10,20,2,1,4,1,4,0,0,0
2016-09-03,29,0,72,24,85,14,43,2,5,2,6,10,20,1,0,4,0,0,0,0,0
2016-09-04,31,0,75,16,94,7,31,3,7,0,20,13,19,0,1,3,0,0,0,0,0
2016-09-05,23,0,91,16,82,5,45,6,3,3,15,8,25,1,1,1,0,1,0,0,0
2016-09-06,24,0,62,24,98,13,37,6,11,2,21,6,24,1,1,1,0,2,0,0,0
2016-09-07,24,0,85,20,93,12,36,8,12,0,8,9,29,3,2,6,0,1,0,0,0
2016-09-08,16,0,77,21,92,11,38,6,11,1,7,4,25,2,1,3,0,0,0,0,0
2016-09-09,32,0,91,20,90,14,34,0,6,0,14,5,18,1,0,2,0,3,0,0,0
2016-09-10,30,0,80,12,87,13,47,6,2,4,14,11,25,2,3,2,0,3,0,0,0
2016-09-11,36,0,87,18,98,6,35,6,5,3,8,7,17,3,3,3,0,1,0,0,0
2016-09-12,21,0,79,17,71,14,35,8,4,0,16,8,18,0,1,2,0,1,0,0,0
2016-09-13,27,0,78,15,76,14,30,3,7,3,9,3,23,1,1,3,0,0,0,0,0
2016-09-14,20,0,68,18,72,8,33,9,8,1,11,14,28,1,0,3,0,4,0,0,0
