fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-03-10,0,11,6,8,4,28,28,8,9,8,3,1,0,0,2,1,0,0,0,0,0
2016-03-11,0,3,3,3,1,37,25,5,6,12,1,0,0,0,0,2,0,0,0,0,0
2016-03-12,0,9,2,2,2,25,15,2,7,4,2,0,0,1,1,1,0,0,0,0,0
2016-03-13,0,14,3,5,0,15,27,7,8,5,2,0,0,0,1,0,0,0,1,0,0
2016-03-14,0,6,2,6,4,23,20,2,10,5,2,3,0,1,1,0,0,0,0,0,0
2016-03-15,0,3,3,4,1,29,25,5,11,8,3,2,2,0,0,0,0,0,3,0,0
2016-03-16,0,4,3,4,0,37,28,5,8,11,1,2,0,0,1,0,0,0,3,0,0
2016-03-17,0,7,0,6,2,28,19,8,8,9,5,3,0,0,0,2,0,0,2,0,0
2016-03-18,0,5,1,4,2,21,26,6,6,8,1,0,0,0,1,1,0,0,0,0,0
2016-03-19,0,3,2,4,1,22,23,2,5,10,1,3,0,0,0,0,0,0,0,0,0
2016-03-20,0,6,5,3,3,30,32,8,3,4,1,4,0,1,1,1,0,0,0,0,0
2016-03-21,0,6,1,3,3,22,19,7,7,7,2,1,0,0,0,2,0,0,0,0,0
2016-03-22,0,11,2,2,4,25,34,6,8,5,0,1,1,1,1,3,0,0,0,0,0
2016-03-23,0,6,4,3,3,29,24,4,6,5,2,3,1,0,1,3,0,0,2,0,0
2016-03-24,0,2,2,4,2,31,27,2,2,12,2,3,1,0,0,1,0,0,0,0,0
2016-03-25,0,10,2,6,0,23,29,3,10,7,3,2,0,1,0,1,0,0,0,0,0
2016-03-26,0,7,0,4,3,31,21,4,9,6,3,1,0,2,0,0,0,0,0,1,0
2016-03-27,0,5,3,5,1,29,27,6,8,4,2,2,0,1,0,0,0,0,2,0,0
2016-03-28,0,6,3,4,0,30,29,5,8,6,4,4,0,0,1,1,0,0,2,0,0
2016-03-29,0,6,3,0,0,32,27,6,14,7,2,4,0,0,0,2,0,0,0,0,0
2016-03-30,0,2,3,4,2,24,18,6,10,10,1,1,0,1,2,4,0,0,0,0,0
2016-03-31,0,6,4,3,1,16,31,6,8,3,0,3,0,0,1,3,0,0,0,0,0
2016-04-01,0,6,3,1,3,26,15,5,6,7,5,2,1,0,0,0,0,0,2,0,0
2016-04-02,0,7,1,2,2,28,30,6,12,4,2,1,1,0,1,0,0,0,2,0,0
2016-04-03,0,7,4,4,0,21,29,5,13,8,1,2,1,0,0,2,0,0,0,0,0
2016-04-04,0,2,3,4,3,21,22,7,14,10,3,3,0,1,1,2,0,0,1,1,0
2016-04-05,0,7,1,2,1,27,19,4,6,9,0,3,0,1,0,0,0,0,1,0,0
2016-04-06,0,5,2,0,1,21,28,4,12,7,5,3,0,1,0,1,0,0,3,0,0
2016-04-07,0,5,2,2,2,29,29,4,8,8,6,1,0,1,0,1,0,0,0,0,0
2016-04-08,0,6,2,2,2,36,30,9,9,5,0,2,0,0,1,2,0,0,0,0,0
2016-04-09,0,6,2,5,1,16,24,5,9,12,3,5,1,0,1,1,0,0,0,0,0
2016-04-10,0,6,7,4,1,25,23,8,8,8,2,3,1,0,1,0,0,0,0,0,0
2016-04-11,0,5,3,3,0,26,42,3,7,10,6,1,0,1,1,1,0,0,1,0,0
2016-04-12,0,5,8,2,1,34,30,6,7,13,0,2,0,0,1,0,0,0,1,0,0
2016-04-13,0,4,5,1,1,37,25,5,6,6,6,0,0,0,1,2,0,0,1,0,0
2016-04-14,0,5,2,1,1,25,27,6,7,9,4,3,0,0,0,3,0,0,1,0,0
2016-04-15,0,4,3,4,1,29,24,3,13,13,1,4,0,1,2,3,0,0,0,0,0
2016-04-16,0,6,5,2,2,31,45,5,17,7,4,1,0,1,1,2,0,0,1,0,0
2016-04-17,0,6,3,3,1,38,32,6,4,10,4,2,1,0,1,1,0,0,1,0,0
2016-04-18,0,12,4,3,3,23,37,9,8,4,4,3,0,1,0,1,0,0,1,0,0
2016-04-19,0,4,2,4,2,34,27,8,12,6,2,1,0,0,2,1,0,0,0,0,0
2016-04-20,0,6,0,4,4,25,31,3,7,7,4,0,1,0,0,1,0,0,0,0,0
2016-04-21,0,2,4,7,3,25,37,2,10,5,5,2,0,0,0,2,0,0,2,0,0
2016-04-22,0,4,7,4,0,27,33,5,13,10,4,1,1,2,2,2,0,0,1,0,0
2016-04-23,0,7,5,2,3,25,25,7,13,5,1,1,0,0,0,4,0,0,1,0,0
2016-04-24,0,8,2,4,0,21,32,6,7,8,2,4,2,3,0,0,0,0,1,0,0
2016-04-25,0,8,3,2,3,29,40,7,20,8,1,2,1,0,0,2,0,0,0,0,0
2016-04-26,0,8,1,1,4,31,42,5,15,9,1,1,2,2,0,2,0,0,3,0,0
2016-04-27,0,7,1,2,4,25,28,5,12,9,1,3,3,0,0,1,0,0,1,0,0
2016-04-28,0,5,2,4,0,38,21,6,12,9,2,2,0,1,0,1,0,0,1,1,0
2016-04-29,0,7,4,2,4,38,40,8,9,10,2,3,0,1,1,1,0,0,1,0,0
2016-04-30,0,8,4,3,1,26,38,8,15,14,3,3,0,0,0,1,0,0,1,0,0
2016-05-01,0,4,2,9,2,38,36,2,11,8,3,4,2,0,1,0,1,0,1,0,0
2016-05-02,0,8,3,3,7,32,25,6,15,5,2,2,1,1,2,1,0,0,2,0,0
2016-05-03,0,10,4,5,3,27,34,2,9,11,7,2,0,1,0,1,0,0,2,0,0
2016-05-04,0,4,3,3,4,32,34,3,6,9,0,1,1,1,0,0,0,0,1,0,0
2016-05-05,0,4,2,3,3,24,26,7,10,7,5,3,1,0,1,4,0,0,2,0,0
2016-05-06,0,3,3,4,5,28,28,9,10,7,2,0,0,1,0,1,0,0,0,0,0
2016-05-07,0,8,1,5,1,29,38,6,1,8,0,4,1,0,0,0,0,0,0,0,0
2016-05-08,0,7,4,2,2,33,34,8,9,8,3,2,0,0,3,0,0,0,1,0,0
2016-05-09,0,4,3,4,0,19,36,10,18,8,0,2,1,0,0,3,0,0,0,0,0
2016-05-10,0,9,1,1,0,24,30,10,10,9,4,6,0,1,1,1,0,0,0,0,0
2016-05-11,0,7,3,4,3,27,23,4,11,6,2,4,1,0,0,1,0,0,1,0,0
2016-05-12,0,8,0,4,2,26,17,5,9,12,1,1,0,1,0,2,0,0,0,0,0
2016-05-13,0,3,2,1,2,23,28,8,7,10,2,3,0,0,2,0,0,0,2,0,0
2016-05-14,0,6,2,2,3,36,36,11,17,6,4,4,1,0,1,0,0,0,0,0,0
