fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-04-26,0,21,7,10,5,72,91,18,27,22,5,6,4,3,2,2,0,0,3,0,0
2016-04-27,0,25,4,9,9,76,78,8,22,26,8,7,3,0,0,1,0,0,1,0,0
2016-04-28,0,12,5,11,2,80,60,17,35,19,4,6,0,2,1,1,0,0,2,1,0
2016-04-29,0,19,10,4,7,88,84,21,24,22,9,4,1,2,1,3,0,0,3,0,0
2016-04-30,0,25,9,7,5,71,73,22,34,28,9,7,4,1,1,1,0,0,1,1,0
2016-05-01,0,22,4,14,5,83,91,8,22,16,5,9,3,0,2,1,1,0,4,1,0
2016-05-02,0,16,6,5,14,73,68,15,26,20,5,7,1,1,2,2,0,0,4,0,0
2016-05-03,0,28,10,16,9,94,81,18,15,26,9,9,0,2,0,2,0,0,2,0,0
2016-05-04,0,14,8,8,8,71,82,11,14,22,5,10,1,1,0,1,0,0,2,1,0
2016-05-05,0,7,9,11,5,62,71,10,24,19,12,4,3,0,2,5,0,0,5,1,0
2016-05-06,0,11,12,12,8,79,60,16,20,18,9,4,0,2,2,1,0,0,0,0,0
2016-05-07,0,25,7,10,2,78,77,10,13,18,4,7,2,0,1,0,0,0,0,0,0
2016-05-08,0,23,10,8,7,84,67,15,23,20,8,5,1,1,5,2,0,0,3,0,0
2016-05-09,0,23,10,13,0,66,79,17,32,23,7,6,2,1,1,3,0,0,1,0,0
2016-05-10,0,24,7,9,2,89,81,20,26,22,12,7,0,3,1,1,0,0,2,0,0
2016-05-11,0,17,8,10,4,80,61,14,19,21,4,5,3,0,1,2,0,0,1,0,0
2016-05-12,0,19,8,9,4,75,55,11,30,20,8,7,0,1,1,3,0,0,2,0,0
2016-05-13,0,19,11,8,9,81,73,16,20,23,9,5,0,4,3,4,0,0,2,0,0
2016-05-14,0,19,8,5,3,81,87,18,30,13,9,8,1,0,3,3,0,0,2,0,0
2016-05-15,0,29,7,14,6,78,71,15,25,21,9,5,3,3,3,2,0,0,4,0,0
2016-05-16,0,14,14,10,2,80,73,11,24,25,6,6,1,1,2,4,0,0,1,0,0
2016-05-17,0,19,5,11,2,71,73,16,16,24,10,8,2,3,3,1,0,0,2,0,0
2016-05-18,0,16,11,8,5,76,82,19,23,25,12,5,3,3,3,2,0,0,3,0,0
2016-05-19,0,17,11,12,5,78,77,18,25,19,6,7,1,6,3,2,0,0,1,0,0
2016-05-20,0,19,8,8,1,84,73,17,24,22,4,5,1,3,2,4,0,0,3,0,0
