fecha,Enfermedades del sistema circulatorio ,COVID-19,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades del sistema respiratorio ,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas",Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",nan,Enfermedades del oÃ­do y de la apÃ³fisis mastoides,CÃ³digos para propÃ³sitos especiales
2016-03-17,54,0,24,64,10,2,18,11,24,23,5,2,2,2,0,2,0,2,0,0,0,0
2016-03-18,72,0,18,65,11,8,18,3,26,17,3,5,1,1,0,4,0,1,0,0,0,0
2016-03-19,62,0,18,85,5,3,8,5,20,18,7,8,0,1,1,1,0,0,0,0,0,0
2016-03-20,65,0,17,86,9,5,16,7,17,11,7,13,1,3,1,1,0,2,0,0,0,0
2016-03-21,74,0,17,62,14,6,16,7,21,23,5,14,2,0,0,2,0,2,0,0,0,0
2016-03-22,67,0,25,52,3,7,13,4,13,22,7,9,2,1,2,6,0,2,0,0,0,0
2016-03-23,71,0,14,76,7,4,10,10,11,13,8,8,0,2,1,5,0,4,0,0,0,0
2016-03-24,75,0,13,69,11,4,7,5,19,16,3,8,0,1,1,3,0,1,1,0,0,0
2016-03-25,74,0,29,70,11,4,9,13,22,18,2,6,2,1,0,2,0,3,0,0,0,0
2016-03-26,73,0,16,79,8,4,10,3,24,24,5,4,3,1,0,0,0,1,1,0,0,0
2016-03-27,66,0,18,70,8,3,25,9,21,19,3,7,3,1,0,2,0,2,0,0,0,0
2016-03-28,70,0,19,71,8,4,12,11,19,22,9,10,0,3,0,2,0,2,0,0,0,0
2016-03-29,65,0,14,78,4,6,13,10,20,23,6,7,2,2,2,3,0,0,0,0,0,0
2016-03-30,54,0,6,68,10,4,12,6,21,24,7,7,3,5,0,5,0,2,2,0,0,0
2016-03-31,65,0,14,61,6,5,20,7,19,23,8,7,1,1,1,4,0,0,0,0,0,0
2016-04-01,56,0,24,65,7,3,12,13,14,18,3,10,0,2,1,2,0,5,0,0,0,0
2016-04-02,67,0,18,86,5,5,11,9,26,21,5,4,0,2,3,0,0,3,0,0,0,0
2016-04-03,69,0,34,54,10,4,17,6,22,30,5,7,0,1,1,3,0,0,0,0,0,0
2016-04-04,64,0,16,67,9,5,14,7,24,25,5,5,1,2,3,2,0,5,1,0,0,0
2016-04-05,69,0,15,69,6,4,11,3,25,17,6,2,1,1,0,4,0,2,0,0,0,0
2016-04-06,70,0,19,64,1,5,11,9,28,17,8,8,1,0,0,5,0,3,0,0,0,0
2016-04-07,73,0,11,82,8,5,16,12,28,19,4,7,1,0,1,3,0,1,0,0,0,0
2016-04-08,76,0,14,82,8,3,17,2,19,28,6,3,1,4,0,4,0,1,0,0,0,0
2016-04-09,67,0,19,54,13,7,14,6,23,27,5,8,1,1,2,2,0,0,0,0,0,0
2016-04-10,66,0,16,71,11,5,13,7,28,19,10,12,2,2,1,1,0,1,0,0,0,0
2016-04-11,84,0,23,87,11,1,15,11,30,22,7,9,1,2,1,2,0,2,0,0,0,0
2016-04-12,74,0,17,87,11,3,17,8,19,20,5,15,2,1,0,1,0,3,0,0,0,0
2016-04-13,67,0,24,65,13,4,17,11,17,17,0,10,1,1,0,3,0,2,0,0,0,0
2016-04-14,70,0,17,69,3,3,16,7,26,19,6,5,1,0,1,6,0,2,0,0,0,0
2016-04-15,62,0,13,81,5,3,15,7,27,23,9,10,3,4,0,4,0,2,0,0,0,0
2016-04-16,94,0,21,79,14,6,14,11,19,25,3,5,1,1,0,2,0,1,0,0,0,0
2016-04-17,75,0,18,80,12,4,19,8,26,18,9,11,0,5,1,1,0,1,0,0,0,0
2016-04-18,79,0,20,56,7,3,18,6,18,21,6,10,2,3,0,4,0,2,0,0,0,0
2016-04-19,66,0,16,82,10,7,16,7,19,27,6,14,1,4,1,2,0,3,0,0,0,0
2016-04-20,80,0,15,68,11,8,13,13,17,16,6,7,0,0,1,1,0,3,0,0,0,0
2016-04-21,67,0,13,75,12,4,12,7,17,19,5,9,0,1,1,4,0,2,0,0,0,0
2016-04-22,85,0,26,84,7,2,14,9,18,24,4,15,4,2,1,5,0,1,0,0,0,0
2016-04-23,80,0,18,78,7,5,17,7,17,25,8,14,1,0,0,5,0,1,0,0,0,0
2016-04-24,77,0,22,68,12,2,11,4,16,21,11,8,3,1,2,2,0,2,0,0,0,0
2016-04-25,86,0,20,72,10,5,17,4,27,31,5,11,0,1,1,5,0,0,0,0,0,0
2016-04-26,91,0,21,72,10,5,18,5,22,27,6,7,3,2,4,2,0,3,0,0,0,0
2016-04-27,78,0,25,76,9,9,8,8,26,22,7,4,0,0,3,1,0,1,0,0,0,0
2016-04-28,60,0,12,80,11,2,17,4,19,35,6,5,2,1,0,1,0,2,1,0,0,0
2016-04-29,84,0,19,88,4,7,21,9,22,24,4,10,2,1,1,3,0,3,0,0,0,0
2016-04-30,73,0,25,71,7,5,22,9,28,34,7,9,1,1,4,1,0,1,1,0,0,0
2016-05-01,91,0,22,83,14,5,8,5,16,22,9,4,0,2,3,1,1,4,1,0,0,0
2016-05-02,68,0,16,73,5,14,15,5,20,26,7,6,1,2,1,2,0,4,0,0,0,0
2016-05-03,81,0,28,94,16,9,18,9,26,15,9,10,2,0,0,2,0,2,0,0,0,0
2016-05-04,82,0,14,71,8,8,11,5,22,14,10,8,1,0,1,1,0,2,1,0,0,0
2016-05-05,71,0,7,62,11,5,10,12,19,24,4,9,0,2,3,5,0,5,1,0,0,0
2016-05-06,60,0,11,79,12,8,16,9,18,20,4,12,2,2,0,1,0,0,0,0,0,0
2016-05-07,77,0,25,78,10,2,10,4,18,13,7,7,0,1,2,0,0,0,0,0,0,0
2016-05-08,67,0,23,84,8,7,15,8,20,23,5,10,1,5,1,2,0,3,0,0,0,0
2016-05-09,79,0,23,66,13,0,17,7,23,32,6,10,1,1,2,3,0,1,0,0,0,0
2016-05-10,81,0,24,89,9,2,20,12,22,26,7,7,3,1,0,1,0,2,0,0,0,0
2016-05-11,61,0,17,80,10,4,14,4,21,19,5,8,0,1,3,2,0,1,0,0,0,0
2016-05-12,55,0,19,75,9,4,11,8,20,30,7,8,1,1,0,3,0,2,0,0,0,0
2016-05-13,73,0,19,81,8,9,16,9,23,20,5,11,4,3,0,4,0,2,0,0,0,0
2016-05-14,87,0,19,81,5,3,18,9,13,30,8,8,0,3,1,3,0,2,0,0,0,0
2016-05-15,71,0,29,78,14,6,15,9,21,25,5,7,3,3,3,2,0,4,0,0,0,0
2016-05-16,73,0,14,80,10,2,11,6,25,24,6,14,1,2,1,4,0,1,0,0,0,0
2016-05-17,73,0,19,71,11,2,16,10,24,16,8,5,3,3,2,1,0,2,0,0,0,0
2016-05-18,82,0,16,76,8,5,19,12,25,23,5,11,3,3,3,2,0,3,0,0,0,0
2016-05-19,77,0,17,78,12,5,18,6,19,25,7,11,6,3,1,2,0,1,0,0,0,0
2016-05-20,73,0,19,84,8,1,17,4,22,24,5,8,3,2,1,4,0,3,0,0,0,0
2016-05-21,75,0,18,71,10,3,15,8,25,37,4,11,3,8,0,3,0,1,0,0,0,0
2016-05-22,71,0,14,78,10,8,20,5,17,19,5,5,1,5,2,0,0,1,0,0,0,0
2016-05-23,86,0,13,80,12,4,15,7,29,25,6,10,4,0,0,6,0,6,0,0,0,0
2016-05-24,75,0,20,82,9,5,15,4,19,10,11,8,3,1,2,2,0,1,0,0,0,0
2016-05-25,77,0,16,88,14,2,24,4,27,25,7,10,4,2,3,4,0,1,0,0,0,0
2016-05-26,70,0,25,77,4,3,22,13,15,26,6,11,1,5,2,2,0,0,0,0,0,0
2016-05-27,75,0,20,78,8,3,12,10,16,26,3,9,5,2,1,3,0,4,0,0,0,0
2016-05-28,94,0,14,76,12,7,17,9,21,25,7,7,1,2,1,1,0,4,0,0,0,0
2016-05-29,84,0,20,67,13,5,19,14,31,31,6,7,2,2,3,6,0,2,0,0,0,0
2016-05-30,82,0,21,85,12,6,12,8,34,27,5,12,0,5,1,1,0,2,0,0,0,0
2016-05-31,77,0,13,90,11,7,12,5,18,26,8,12,3,0,0,4,0,4,0,0,0,0
2016-06-01,80,0,15,71,9,4,14,8,27,34,6,9,2,0,0,7,0,3,0,0,0,0
2016-06-02,80,0,16,91,11,3,16,7,14,22,2,10,1,1,0,4,0,4,0,0,0,0
2016-06-03,81,0,14,71,13,5,16,6,26,32,3,9,2,2,0,3,0,0,0,0,0,0
2016-06-04,84,0,25,65,9,7,17,8,25,18,6,6,3,0,0,2,0,4,0,0,0,0
2016-06-05,90,0,27,73,11,2,16,8,13,23,3,10,3,1,0,3,0,1,1,0,0,0
2016-06-06,78,0,20,74,8,6,25,7,19,35,2,8,0,0,1,1,0,1,0,0,0,0
2016-06-07,101,0,16,69,10,6,16,11,29,27,5,8,1,1,0,4,0,3,0,0,0,0
2016-06-08,89,0,17,68,7,9,26,16,20,24,8,10,0,1,0,1,0,3,0,0,0,0
2016-06-09,88,0,24,88,16,5,18,11,26,26,11,16,1,2,1,4,0,4,0,0,0,0
2016-06-10,77,0,28,69,7,8,31,8,20,33,10,8,0,3,1,1,0,2,1,0,0,0
2016-06-11,69,0,28,85,13,7,19,13,21,33,9,10,0,4,0,1,0,1,0,0,0,0
2016-06-12,104,0,19,84,12,5,15,7,18,31,6,11,2,2,1,3,0,4,0,0,0,0
2016-06-13,101,0,25,75,10,10,20,6,17,37,6,16,2,1,0,1,1,2,0,0,0,0
2016-06-14,82,0,15,80,13,4,23,7,21,23,4,18,1,1,1,3,0,5,0,0,0,0
2016-06-15,87,0,11,67,18,4,10,6,28,30,3,8,2,1,1,6,0,2,0,0,0,0
2016-06-16,72,0,17,94,14,10,16,13,24,32,7,13,1,1,0,3,0,3,0,0,0,0
2016-06-17,101,0,12,68,8,6,28,9,25,23,12,9,0,1,0,3,0,1,0,0,0,0
2016-06-18,86,0,32,66,10,3,19,5,20,33,6,6,0,4,2,8,0,4,0,0,0,0
2016-06-19,102,0,24,65,12,5,31,11,18,26,5,4,7,6,1,0,0,0,0,0,0,0
2016-06-20,86,0,14,69,10,6,26,8,27,31,7,9,2,3,3,3,0,0,0,0,0,0
2016-06-21,90,0,18,88,8,6,20,11,21,37,8,12,0,5,2,4,0,1,1,0,0,0
2016-06-22,104,0,25,81,15,6,17,5,29,47,7,12,5,3,2,7,0,2,0,0,0,0
2016-06-23,95,0,20,90,12,1,20,19,15,32,6,17,0,4,2,7,0,3,0,0,0,0
2016-06-24,83,0,22,82,10,8,16,11,23,35,7,11,2,1,0,4,0,5,0,0,0,0
2016-06-25,83,0,27,88,13,3,21,5,17,37,5,10,1,1,3,3,0,2,0,0,1,0
2016-06-26,110,0,29,83,10,5,17,10,26,45,6,7,0,2,0,4,0,1,0,0,0,0
2016-06-27,104,0,28,71,14,6,24,9,25,49,9,9,2,1,1,1,0,1,0,0,0,0
2016-06-28,85,0,27,82,9,8,23,12,22,40,5,9,0,1,2,3,0,2,0,0,0,0
2016-06-29,96,0,21,71,8,10,26,8,18,48,3,13,0,5,0,2,0,2,0,0,0,0
2016-06-30,95,0,19,78,11,3,27,10,25,37,3,9,0,2,1,2,0,4,1,0,0,0
2016-07-01,101,0,23,75,8,11,24,7,29,32,11,6,1,1,0,2,0,1,0,0,0,0
2016-07-02,108,0,20,86,16,10,19,9,26,44,5,9,0,1,2,4,0,4,1,0,0,0
2016-07-03,95,0,28,89,6,8,26,5,20,32,6,12,3,5,2,2,0,0,0,0,0,0
2016-07-04,99,0,29,71,14,10,22,12,19,37,5,12,1,1,0,3,0,1,0,0,0,0
2016-07-05,95,0,10,86,11,8,22,14,21,36,9,8,2,1,1,4,0,1,0,0,0,0
2016-07-06,111,0,19,57,13,11,19,14,15,26,8,14,0,2,5,5,0,0,0,0,0,0
2016-07-07,102,0,20,77,13,7,18,9,28,51,5,6,2,2,0,2,0,0,0,0,0,0
2016-07-08,98,0,25,77,11,5,23,7,33,43,4,6,1,3,2,4,0,4,0,0,0,0
2016-07-09,107,0,21,86,9,4,29,8,20,40,5,12,1,0,1,4,0,3,0,0,0,0
2016-07-10,106,0,27,74,15,6,31,6,20,50,7,7,2,3,3,1,0,2,0,0,0,0
2016-07-11,96,0,26,99,15,7,22,10,23,40,6,8,1,3,2,2,0,1,0,0,0,0
2016-07-12,125,0,12,67,7,6,26,10,24,34,6,13,3,0,3,4,0,0,1,0,0,0
2016-07-13,99,0,16,76,13,6,28,16,36,38,11,11,0,2,1,3,0,2,0,0,0,0
2016-07-14,111,0,37,79,13,7,23,5,18,34,5,9,0,0,2,2,0,1,0,0,0,0
2016-07-15,107,0,24,74,4,8,25,9,19,36,9,11,2,2,0,1,0,3,0,0,0,0
2016-07-16,107,0,25,92,13,8,16,12,26,36,6,9,3,4,2,2,0,2,0,0,0,0
2016-07-17,114,0,33,77,12,6,25,11,28,54,5,8,1,2,2,1,0,1,0,0,0,0
2016-07-18,101,0,23,76,15,7,37,10,24,30,8,12,3,4,1,5,0,1,0,0,0,0
2016-07-19,97,0,22,75,17,4,28,9,38,46,8,13,1,2,2,3,0,1,0,0,0,0
2016-07-20,122,0,14,84,16,7,24,8,19,47,9,16,5,1,2,4,0,0,0,0,0,0
2016-07-21,99,0,21,89,14,6,26,7,30,41,5,10,2,2,1,3,0,4,2,0,1,0
