fecha,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema digestivo,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Trastornos mentales y del comportamiento,COVID-19,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del ojo y sus anexos ,Enfermedades de la piel y del tejido subcutáneo,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,nan,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-03-05,1,64,79,22,17,10,29,17,7,10,0,6,0,1,2,0,2,0,3,0,0,0
2016-03-06,5,56,60,16,19,4,25,28,13,2,0,3,0,3,0,0,0,0,1,0,0,0
2016-03-07,6,53,63,17,18,5,16,27,14,13,0,4,0,3,1,0,1,0,1,0,0,0
2016-03-08,8,48,63,16,17,5,24,19,6,15,1,7,0,2,1,0,0,0,1,0,0,0
2016-03-09,6,69,77,20,18,2,15,26,10,14,3,5,0,4,1,0,0,0,1,0,0,0
2016-03-10,6,62,82,21,23,3,21,31,13,15,0,8,0,3,2,0,0,0,1,0,0,0
2016-03-11,6,62,87,18,11,3,28,20,6,8,2,3,0,2,1,0,0,0,1,0,0,0
2016-03-12,7,61,59,18,11,4,12,19,4,4,5,3,0,2,1,0,0,0,1,0,0,0
2016-03-13,7,59,62,19,16,5,23,32,8,9,0,2,0,0,1,0,1,0,3,0,1,0
2016-03-14,9,55,74,22,10,8,20,17,7,14,2,4,0,0,2,0,1,0,3,0,0,0
2016-03-15,9,58,81,27,12,2,17,20,6,11,1,4,0,0,1,0,5,0,4,0,0,0
2016-03-16,3,67,83,19,9,5,29,22,10,7,0,2,0,2,2,0,0,0,4,0,0,0
2016-03-17,11,54,64,23,18,5,24,24,2,10,2,2,0,2,2,0,0,0,2,0,0,0
2016-03-18,3,72,65,17,18,3,26,18,5,11,1,8,0,4,1,0,0,0,1,0,0,0
2016-03-19,5,62,85,18,8,7,20,18,8,5,0,3,0,1,1,0,1,0,0,0,0,0
2016-03-20,7,65,86,11,16,7,17,17,13,9,1,5,0,1,3,0,1,0,2,0,0,0
2016-03-21,7,74,62,23,16,5,21,17,14,14,2,6,0,2,0,0,0,0,2,0,0,0
2016-03-22,4,67,52,22,13,7,13,25,9,3,2,7,0,6,1,0,2,0,2,0,0,0
2016-03-23,10,71,76,13,10,8,11,14,8,7,0,4,0,5,2,0,1,0,4,0,0,0
2016-03-24,5,75,69,16,7,3,19,13,8,11,0,4,0,3,1,0,1,0,1,0,1,0
2016-03-25,13,74,70,18,9,2,22,29,6,11,2,4,0,2,1,0,0,0,3,0,0,0
2016-03-26,3,73,79,24,10,5,24,16,4,8,3,4,0,0,1,0,0,0,1,0,1,0
2016-03-27,9,66,70,19,25,3,21,18,7,8,3,3,0,2,1,0,0,0,2,0,0,0
2016-03-28,11,70,71,22,12,9,19,19,10,8,0,4,0,2,3,0,0,0,2,0,0,0
2016-03-29,10,65,78,23,13,6,20,14,7,4,2,6,0,3,2,0,2,0,0,0,0,0
2016-03-30,6,54,68,24,12,7,21,6,7,10,3,4,0,5,5,0,0,0,2,0,2,0
2016-03-31,7,65,61,23,20,8,19,14,7,6,1,5,0,4,1,0,1,0,0,0,0,0
2016-04-01,13,56,65,18,12,3,14,24,10,7,0,3,0,2,2,0,1,0,5,0,0,0
2016-04-02,9,67,86,21,11,5,26,18,4,5,0,5,0,0,2,0,3,0,3,0,0,0
2016-04-03,6,69,54,30,17,5,22,34,7,10,0,4,0,3,1,0,1,0,0,0,0,0
2016-04-04,7,64,67,25,14,5,24,16,5,9,1,5,0,2,2,0,3,0,5,0,1,0
2016-04-05,3,69,69,17,11,6,25,15,2,6,1,4,0,4,1,0,0,0,2,0,0,0
2016-04-06,9,70,64,17,11,8,28,19,8,1,1,5,0,5,0,0,0,0,3,0,0,0
2016-04-07,12,73,82,19,16,4,28,11,7,8,1,5,0,3,0,0,1,0,1,0,0,0
2016-04-08,2,76,82,28,17,6,19,14,3,8,1,3,0,4,4,0,0,0,1,0,0,0
2016-04-09,6,67,54,27,14,5,23,19,8,13,1,7,0,2,1,0,2,0,0,0,0,0
2016-04-10,7,66,71,19,13,10,28,16,12,11,2,5,0,1,2,0,1,0,1,0,0,0
2016-04-11,11,84,87,22,15,7,30,23,9,11,1,1,0,2,2,0,1,0,2,0,0,0
2016-04-12,8,74,87,20,17,5,19,17,15,11,2,3,0,1,1,0,0,0,3,0,0,0
2016-04-13,11,67,65,17,17,0,17,24,10,13,1,4,0,3,1,0,0,0,2,0,0,0
2016-04-14,7,70,69,19,16,6,26,17,5,3,1,3,0,6,0,0,1,0,2,0,0,0
2016-04-15,7,62,81,23,15,9,27,13,10,5,3,3,0,4,4,0,0,0,2,0,0,0
2016-04-16,11,94,79,25,14,3,19,21,5,14,1,6,0,2,1,0,0,0,1,0,0,0
2016-04-17,8,75,80,18,19,9,26,18,11,12,0,4,0,1,5,0,1,0,1,0,0,0
2016-04-18,6,79,56,21,18,6,18,20,10,7,2,3,0,4,3,0,0,0,2,0,0,0
2016-04-19,7,66,82,27,16,6,19,16,14,10,1,7,0,2,4,0,1,0,3,0,0,0
2016-04-20,13,80,68,16,13,6,17,15,7,11,0,8,0,1,0,0,1,0,3,0,0,0
2016-04-21,7,67,75,19,12,5,17,13,9,12,0,4,0,4,1,0,1,0,2,0,0,0
2016-04-22,9,85,84,24,14,4,18,26,15,7,4,2,0,5,2,0,1,0,1,0,0,0
2016-04-23,7,80,78,25,17,8,17,18,14,7,1,5,0,5,0,0,0,0,1,0,0,0
2016-04-24,4,77,68,21,11,11,16,22,8,12,3,2,0,2,1,0,2,0,2,0,0,0
2016-04-25,4,86,72,31,17,5,27,20,11,10,0,5,0,5,1,0,1,0,0,0,0,0
2016-04-26,5,91,72,27,18,6,22,21,7,10,3,5,0,2,2,0,4,0,3,0,0,0
2016-04-27,8,78,76,22,8,7,26,25,4,9,0,9,0,1,0,0,3,0,1,0,0,0
2016-04-28,4,60,80,35,17,6,19,12,5,11,2,2,0,1,1,0,0,0,2,0,1,0
2016-04-29,9,84,88,24,21,4,22,19,10,4,2,7,0,3,1,0,1,0,3,0,0,0
2016-04-30,9,73,71,34,22,7,28,25,9,7,1,5,0,1,1,0,4,0,1,0,1,0
2016-05-01,5,91,83,22,8,9,16,22,4,14,0,5,0,1,2,1,3,0,4,0,1,0
2016-05-02,5,68,73,26,15,7,20,16,6,5,1,14,0,2,2,0,1,0,4,0,0,0
2016-05-03,9,81,94,15,18,9,26,28,10,16,2,9,0,2,0,0,0,0,2,0,0,0
2016-05-04,5,82,71,14,11,10,22,14,8,8,1,8,0,1,0,0,1,0,2,0,1,0
2016-05-05,12,71,62,24,10,4,19,7,9,11,0,5,0,5,2,0,3,0,5,0,1,0
2016-05-06,9,60,79,20,16,4,18,11,12,12,2,8,0,1,2,0,0,0,0,0,0,0
2016-05-07,4,77,78,13,10,7,18,25,7,10,0,2,0,0,1,0,2,0,0,0,0,0
2016-05-08,8,67,84,23,15,5,20,23,10,8,1,7,0,2,5,0,1,0,3,0,0,0
2016-05-09,7,79,66,32,17,6,23,23,10,13,1,0,0,3,1,0,2,0,1,0,0,0
2016-05-10,12,81,89,26,20,7,22,24,7,9,3,2,0,1,1,0,0,0,2,0,0,0
2016-05-11,4,61,80,19,14,5,21,17,8,10,0,4,0,2,1,0,3,0,1,0,0,0
2016-05-12,8,55,75,30,11,7,20,19,8,9,1,4,0,3,1,0,0,0,2,0,0,0
2016-05-13,9,73,81,20,16,5,23,19,11,8,4,9,0,4,3,0,0,0,2,0,0,0
2016-05-14,9,87,81,30,18,8,13,19,8,5,0,3,0,3,3,0,1,0,2,0,0,0
2016-05-15,9,71,78,25,15,5,21,29,7,14,3,6,0,2,3,0,3,0,4,0,0,0
2016-05-16,6,73,80,24,11,6,25,14,14,10,1,2,0,4,2,0,1,0,1,0,0,0
2016-05-17,10,73,71,16,16,8,24,19,5,11,3,2,0,1,3,0,2,0,2,0,0,0
2016-05-18,12,82,76,23,19,5,25,16,11,8,3,5,0,2,3,0,3,0,3,0,0,0
2016-05-19,6,77,78,25,18,7,19,17,11,12,6,5,0,2,3,0,1,0,1,0,0,0
2016-05-20,4,73,84,24,17,5,22,19,8,8,3,1,0,4,2,0,1,0,3,0,0,0
2016-05-21,8,75,71,37,15,4,25,18,11,10,3,3,0,3,8,0,0,0,1,0,0,0
2016-05-22,5,71,78,19,20,5,17,14,5,10,1,8,0,0,5,0,2,0,1,0,0,0
2016-05-23,7,86,80,25,15,6,29,13,10,12,4,4,0,6,0,0,0,0,6,0,0,0
2016-05-24,4,75,82,10,15,11,19,20,8,9,3,5,0,2,1,0,2,0,1,0,0,0
2016-05-25,4,77,88,25,24,7,27,16,10,14,4,2,0,4,2,0,3,0,1,0,0,0
2016-05-26,13,70,77,26,22,6,15,25,11,4,1,3,0,2,5,0,2,0,0,0,0,0
2016-05-27,10,75,78,26,12,3,16,20,9,8,5,3,0,3,2,0,1,0,4,0,0,0
2016-05-28,9,94,76,25,17,7,21,14,7,12,1,7,0,1,2,0,1,0,4,0,0,0
2016-05-29,14,84,67,31,19,6,31,20,7,13,2,5,0,6,2,0,3,0,2,0,0,0
2016-05-30,8,82,85,27,12,5,34,21,12,12,0,6,0,1,5,0,1,0,2,0,0,0
2016-05-31,5,77,90,26,12,8,18,13,12,11,3,7,0,4,0,0,0,0,4,0,0,0
2016-06-01,8,80,71,34,14,6,27,15,9,9,2,4,0,7,0,0,0,0,3,0,0,0
2016-06-02,7,80,91,22,16,2,14,16,10,11,1,3,0,4,1,0,0,0,4,0,0,0
2016-06-03,6,81,71,32,16,3,26,14,9,13,2,5,0,3,2,0,0,0,0,0,0,0
2016-06-04,8,84,65,18,17,6,25,25,6,9,3,7,0,2,0,0,0,0,4,0,0,0
2016-06-05,8,90,73,23,16,3,13,27,10,11,3,2,0,3,1,0,0,0,1,0,1,0
2016-06-06,7,78,74,35,25,2,19,20,8,8,0,6,0,1,0,0,1,0,1,0,0,0
2016-06-07,11,101,69,27,16,5,29,16,8,10,1,6,0,4,1,0,0,0,3,0,0,0
2016-06-08,16,89,68,24,26,8,20,17,10,7,0,9,0,1,1,0,0,0,3,0,0,0
2016-06-09,11,88,88,26,18,11,26,24,16,16,1,5,0,4,2,0,1,0,4,0,0,0
2016-06-10,8,77,69,33,31,10,20,28,8,7,0,8,0,1,3,0,1,0,2,0,1,0
2016-06-11,13,69,85,33,19,9,21,28,10,13,0,7,0,1,4,0,0,0,1,0,0,0
2016-06-12,7,104,84,31,15,6,18,19,11,12,2,5,0,3,2,0,1,0,4,0,0,0
2016-06-13,6,101,75,37,20,6,17,25,16,10,2,10,0,1,1,1,0,0,2,0,0,0
2016-06-14,7,82,80,23,23,4,21,15,18,13,1,4,0,3,1,0,1,0,5,0,0,0
2016-06-15,6,87,67,30,10,3,28,11,8,18,2,4,0,6,1,0,1,0,2,0,0,0
2016-06-16,13,72,94,32,16,7,24,17,13,14,1,10,0,3,1,0,0,0,3,0,0,0
2016-06-17,9,101,68,23,28,12,25,12,9,8,0,6,0,3,1,0,0,0,1,0,0,0
2016-06-18,5,86,66,33,19,6,20,32,6,10,0,3,0,8,4,0,2,0,4,0,0,0
2016-06-19,11,102,65,26,31,5,18,24,4,12,7,5,0,0,6,0,1,0,0,0,0,0
2016-06-20,8,86,69,31,26,7,27,14,9,10,2,6,0,3,3,0,3,0,0,0,0,0
2016-06-21,11,90,88,37,20,8,21,18,12,8,0,6,0,4,5,0,2,0,1,0,1,0
2016-06-22,5,104,81,47,17,7,29,25,12,15,5,6,0,7,3,0,2,0,2,0,0,0
2016-06-23,19,95,90,32,20,6,15,20,17,12,0,1,0,7,4,0,2,0,3,0,0,0
2016-06-24,11,83,82,35,16,7,23,22,11,10,2,8,0,4,1,0,0,0,5,0,0,0
2016-06-25,5,83,88,37,21,5,17,27,10,13,1,3,0,3,1,0,3,1,2,0,0,0
2016-06-26,10,110,83,45,17,6,26,29,7,10,0,5,0,4,2,0,0,0,1,0,0,0
2016-06-27,9,104,71,49,24,9,25,28,9,14,2,6,0,1,1,0,1,0,1,0,0,0
2016-06-28,12,85,82,40,23,5,22,27,9,9,0,8,0,3,1,0,2,0,2,0,0,0
2016-06-29,8,96,71,48,26,3,18,21,13,8,0,10,0,2,5,0,0,0,2,0,0,0
2016-06-30,10,95,78,37,27,3,25,19,9,11,0,3,0,2,2,0,1,0,4,0,1,0
2016-07-01,7,101,75,32,24,11,29,23,6,8,1,11,0,2,1,0,0,0,1,0,0,0
2016-07-02,9,108,86,44,19,5,26,20,9,16,0,10,0,4,1,0,2,0,4,0,1,0
2016-07-03,5,95,89,32,26,6,20,28,12,6,3,8,0,2,5,0,2,0,0,0,0,0
