fecha,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema digestivo,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Trastornos mentales y del comportamiento,COVID-19,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del ojo y sus anexos ,Enfermedades de la piel y del tejido subcutáneo,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,nan,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-05-06,2,28,28,10,9,0,7,3,3,4,1,5,0,1,0,0,0,0,0,0,0,0
2016-05-07,0,38,29,1,6,4,8,8,1,5,0,1,0,0,0,0,1,0,0,0,0,0
2016-05-08,3,34,33,9,8,2,8,7,4,2,0,2,0,0,3,0,0,0,1,0,0,0
2016-05-09,0,36,19,18,10,2,8,4,3,4,0,0,0,3,0,0,1,0,0,0,0,0
2016-05-10,4,30,24,10,10,6,9,9,1,1,1,0,0,1,1,0,0,0,0,0,0,0
2016-05-11,2,23,27,11,4,4,6,7,3,4,0,3,0,1,0,0,1,0,1,0,0,0
2016-05-12,1,17,26,9,5,1,12,8,0,4,1,2,0,2,0,0,0,0,0,0,0,0
2016-05-13,2,28,23,7,8,3,10,3,2,1,0,2,0,0,2,0,0,0,2,0,0,0
2016-05-14,4,36,36,17,11,4,6,6,2,2,0,3,0,0,1,0,1,0,0,0,0,0
2016-05-15,5,33,27,9,6,0,11,3,3,6,2,2,0,0,1,0,0,0,2,0,0,0
2016-05-16,1,35,30,8,3,3,13,3,3,3,0,1,0,3,0,0,0,0,0,0,0,0
2016-05-17,3,22,27,7,8,4,9,10,1,5,2,1,0,1,1,0,1,0,1,0,0,0
2016-05-18,7,31,25,13,7,2,10,2,3,3,0,4,0,0,1,0,1,0,3,0,0,0
2016-05-19,4,28,33,9,9,3,8,7,3,6,0,4,0,0,1,0,0,0,0,0,0,0
2016-05-20,2,26,33,12,8,3,5,7,0,2,1,1,0,2,0,0,0,0,2,0,0,0
2016-05-21,2,33,25,10,9,2,10,5,5,0,1,2,0,2,2,0,0,0,0,0,0,0
2016-05-22,3,26,25,5,8,0,3,6,0,4,0,4,0,0,0,0,1,0,1,0,0,0
2016-05-23,4,30,29,10,6,2,13,3,4,3,3,1,0,2,0,0,0,0,0,0,0,0
2016-05-24,0,29,34,3,2,3,11,7,3,6,0,2,0,2,0,0,0,0,0,0,0,0
2016-05-25,1,38,32,8,7,3,11,7,1,5,2,2,0,1,0,0,2,0,0,0,0,0
2016-05-26,7,30,27,14,7,1,5,8,1,2,1,1,0,0,3,0,1,0,0,0,0,0
2016-05-27,5,32,32,12,4,2,7,9,1,3,2,2,0,2,0,0,0,0,1,0,0,0
2016-05-28,4,44,31,10,12,3,9,4,3,4,0,2,0,0,1,0,1,0,0,0,0,0
2016-05-29,3,35,27,14,4,2,9,8,2,4,0,4,0,2,0,0,1,0,1,0,0,0
2016-05-30,5,32,31,9,6,4,17,9,5,4,0,2,0,0,0,0,0,0,1,0,0,0
2016-05-31,3,32,38,12,5,4,7,3,8,2,0,4,0,1,0,0,0,0,0,0,0,0
2016-06-01,3,28,28,16,4,5,13,4,1,2,2,4,0,2,0,0,0,0,1,0,0,0
2016-06-02,2,28,32,10,3,1,6,5,2,5,1,3,0,2,0,0,0,0,0,0,0,0
2016-06-03,3,30,21,14,6,1,12,4,3,9,2,1,0,2,0,0,0,0,0,0,0,0
2016-06-04,3,26,22,8,10,1,8,7,2,2,1,4,0,1,0,0,0,0,2,0,0,0
2016-06-05,3,35,25,11,6,1,3,10,5,4,1,0,0,1,0,0,0,0,0,0,0,0
2016-06-06,4,35,20,13,6,2,4,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2016-06-07,5,41,21,10,5,1,10,4,3,6,0,5,0,0,1,0,0,0,0,0,0,0
2016-06-08,4,49,19,8,9,2,5,8,5,4,0,5,0,0,1,0,0,0,0,0,0,0
2016-06-09,2,22,33,10,9,7,11,10,9,5,1,2,0,1,1,0,1,0,3,0,0,0
2016-06-10,2,29,25,16,14,4,7,9,2,3,0,3,0,1,1,0,0,0,0,0,0,0
2016-06-11,1,21,28,12,11,3,8,13,2,5,0,2,0,0,2,0,0,0,1,0,0,0
2016-06-12,1,38,43,12,6,3,7,5,6,3,0,3,0,3,2,0,1,0,1,0,0,0
2016-06-13,5,38,30,14,11,3,6,10,8,4,2,3,0,1,0,0,0,0,0,0,0,0
2016-06-14,1,26,27,9,9,1,8,4,6,8,0,1,0,0,0,0,0,0,2,0,0,0
2016-06-15,1,28,18,15,1,1,9,6,3,9,1,2,0,2,0,0,1,0,1,0,0,0
2016-06-16,1,33,40,15,7,0,5,4,8,4,0,2,0,2,0,0,0,0,1,0,0,0
2016-06-17,5,35,28,7,14,7,6,4,3,3,0,3,0,1,0,0,0,0,1,0,0,0
2016-06-18,0,35,22,13,5,3,6,6,3,2,0,2,0,3,0,0,1,0,2,0,0,0
2016-06-19,2,41,23,9,15,3,7,10,2,5,1,3,0,0,3,0,0,0,0,0,0,0
2016-06-20,3,38,24,15,9,5,7,3,2,2,1,4,0,0,1,0,3,0,0,0,0,0
2016-06-21,5,33,29,16,10,4,10,5,4,2,0,3,0,2,2,0,1,0,0,0,0,0
2016-06-22,1,41,29,22,8,4,4,5,4,5,3,4,0,2,2,0,2,0,1,0,0,0
2016-06-23,11,39,32,15,5,2,7,11,8,3,0,0,0,4,1,0,2,0,0,0,0,0
2016-06-24,5,38,31,17,6,3,7,6,1,3,0,1,0,0,0,0,0,0,1,0,0,0
